age,gender,education,department,job_role,monthly_income,years_at_company,promotions,overtime,performance_rating,attrition
35,Male,Post-Graduate,IT,Lead,65994,9,1,No,2,0
40,Male,Post-Graduate,IT,Lead,64492,8,1,No,2,1
45,Male,Post-Graduate,IT,Manager,75776,8,1,Yes,2,1
33,Male,Post-Graduate,Finance,Lead,67685,8,1,No,2,0
31,Male,Post-Graduate,HR,Manager,45721,10,1,Yes,2,0
36,Male,Post-Graduate,HR,Lead,61469,8,1,Yes,3,0
33,Male,Post-Graduate,IT,Manager,69792,8,1,No,2,0
42,Female,Post-Graduate,HR,Executive,63358,9,2,Yes,2,1
35,Male,Post-Graduate,HR,Manager,59563,7,1,No,2,0
43,Male,Post-Graduate,HR,Lead,73147,5,1,No,2,1
36,Male,Post-Graduate,HR,Lead,58041,8,1,Yes,3,0
35,Male,Post-Graduate,IT,Manager,89473,8,1,No,2,1
40,Female,Post-Graduate,HR,Lead,80814,6,2,No,2,1
38,Male,Post-Graduate,HR,Lead,66510,8,1,Yes,2,0
44,Male,Post-Graduate,IT,Lead,70411,9,2,Yes,2,1
37,Female,Post-Graduate,IT,Lead,76992,4,1,No,2,1
36,Male,Post-Graduate,IT,Lead,67017,7,1,No,3,0
35,Male,Post-Graduate,IT,Manager,53770,7,1,No,2,0
45,Female,Post-Graduate,Finance,Lead,98545,7,2,No,2,1
46,Female,Post-Graduate,IT,Lead,78281,8,1,No,2,1
44,Male,Post-Graduate,Finance,Lead,92963,9,2,Yes,2,1
46,Female,Post-Graduate,HR,Executive,69691,8,2,Yes,2,1
42,Male,Graduate,IT,Lead,59868,12,2,No,2,1
35,Male,Post-Graduate,HR,Manager,54769,8,1,No,2,1
39,Female,Post-Graduate,IT,Lead,91206,5,2,Yes,2,1
42,Female,Post-Graduate,HR,Lead,59589,6,2,No,2,1
35,Male,Post-Graduate,IT,Lead,73637,10,1,No,2,0
39,Female,Post-Graduate,HR,Lead,72400,6,1,No,2,0
40,Male,Graduate,HR,Executive,70121,7,2,Yes,2,1
38,Male,Post-Graduate,HR,Lead,96385,4,2,Yes,1,1
40,Female,Post-Graduate,IT,Lead,61323,8,1,No,2,1
41,Male,Post-Graduate,HR,Manager,64030,5,0,No,2,0
39,Male,Post-Graduate,HR,Lead,69499,6,1,Yes,2,1
30,Male,Post-Graduate,IT,Lead,77340,12,2,No,2,0
29,Male,Post-Graduate,HR,Lead,50308,11,2,Yes,2,0
40,Male,Post-Graduate,HR,Lead,88135,4,2,Yes,1,1
43,Female,Post-Graduate,HR,Executive,69134,7,2,No,3,1
37,Male,Post-Graduate,HR,Lead,64418,7,1,Yes,2,0
39,Male,Post-Graduate,HR,Manager,53832,5,1,Yes,2,0
36,Male,Post-Graduate,IT,Lead,64678,6,1,No,2,0
37,Male,Post-Graduate,IT,Manager,80317,8,1,No,2,1
